Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -341.3070    -344.3707       3.0637   388.6
0.0100        -341.3043    -343.7488       2.4445   310.0
0.0200        -341.3060    -343.4790       2.1730   275.6
0.0300        -341.3072    -343.2664       1.9593   248.5
0.0400        -341.3038    -343.2353       1.9315   245.0
0.0500        -341.3096    -344.1516       2.8420   360.4
0.0600        -341.3081    -344.3249       3.0168   382.6
0.0700        -341.3059    -343.8064       2.5005   317.1
0.0800        -341.3038    -343.4489       2.1451   272.1
0.0900        -341.3058    -343.7698       2.4640   312.5
0.1000        -341.3079    -344.1097       2.8018   355.3
0.1100        -341.3056    -343.8224       2.5167   319.2
0.1200        -341.3040    -343.7572       2.4532   311.1
0.1300        -341.3087    -344.4576       3.1490   399.4
0.1400        -341.3082    -344.5282       3.2200   408.4
0.1500        -341.3044    -343.8987       2.5943   329.0
0.1600        -341.3051    -343.7496       2.4444   310.0
0.1700        -341.3074    -343.8879       2.5805   327.3
0.1800        -341.3054    -343.6341       2.3287   295.3
0.1900        -341.3058    -343.5509       2.2451   284.7
0.2000        -341.3062    -343.7027       2.3965   303.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -341.5161    -344.3707       2.8547   362.0
0.0100        -341.5189    -344.3872       2.8683   363.8
0.0200        -341.5154    -343.6865       2.1711   275.4
0.0300        -341.5148    -343.4747       1.9600   248.6
0.0400        -341.5186    -344.1424       2.6238   332.8
0.0500        -341.5189    -344.3414       2.8225   358.0
0.0600        -341.5148    -343.6649       2.1501   272.7
0.0700        -341.5139    -343.3588       1.8448   234.0
0.0800        -341.5153    -343.7579       2.2426   284.4
0.0900        -341.5171    -344.3040       2.7869   353.5
0.1000        -341.5173    -344.3059       2.7886   353.7
0.1100        -341.5147    -343.9874       2.4727   313.6
0.1200        -341.5164    -344.1963       2.6799   339.9
0.1300        -341.5178    -344.3683       2.8505   361.5
0.1400        -341.5150    -343.9994       2.4844   315.1
0.1500        -341.5149    -343.8526       2.3377   296.5
0.1600        -341.5178    -343.9710       2.4532   311.1
0.1700        -341.5157    -343.6136       2.0979   266.1
0.1800        -341.5155    -343.3450       1.8295   232.0
0.1900        -341.5155    -343.5497       2.0341   258.0
0.2000        -341.5176    -344.0290       2.5114   318.5
