step,time(fs),temperature(K),total_energy(eV)
0,0.0,348.57161759360866,-578.3125162944334
1,2.0,344.8651210588696,-578.3120682488848
2,4.0,332.0310246248952,-578.311052540387
3,6.0,311.21673666907884,-578.3098440751872
4,8.0,284.0466073418447,-578.3082057829054
5,10.0,252.62137320090784,-578.3062114661049
6,12.0,219.48139064894363,-578.3040591628828
7,14.0,187.37568448109755,-578.3018812665737
8,16.0,158.96131818467435,-578.3001071084494
9,18.0,136.40370403317058,-578.2990564059143
10,20.0,120.9991306899275,-578.2988501351655
11,22.0,113.01249267273809,-578.299474794256
12,24.0,111.76315237561805,-578.3006269164443
13,26.0,115.90675239451417,-578.3019647963989
14,28.0,123.8204324493412,-578.3032175800317
15,30.0,133.93397753376647,-578.3042137678626
16,32.0,144.88843972886025,-578.3051091992093
17,34.0,155.56073479901363,-578.3056965470521
18,36.0,165.11142802771874,-578.3060570232266
19,38.0,173.01424063847446,-578.306171350562
20,40.0,178.98474409903017,-578.3062495423641
21,42.0,182.92288585134193,-578.3061458993768
22,44.0,184.8942482740148,-578.3059112770621
23,46.0,185.12961796018956,-578.3055546238376
24,48.0,183.99186529154022,-578.3052355172182
25,50.0,181.89779460450885,-578.304890722911
26,52.0,179.27203301013432,-578.3045369725993
27,54.0,176.52057850793307,-578.3043145434624
28,56.0,173.9879334849956,-578.3041369048728
29,58.0,171.91821766900708,-578.3040203197992
30,60.0,170.43580632617736,-578.3040339450015
31,62.0,169.54060405300527,-578.3041790383287
32,64.0,169.13401452218238,-578.3042907008283
33,66.0,169.0817427967079,-578.3044305617924
34,68.0,169.27791005000617,-578.3044687033359
35,70.0,169.68546944946573,-578.3044052887446
36,72.0,170.34996229041974,-578.3043112648268
37,74.0,171.3888830631478,-578.3041634025703
38,76.0,172.95436455723825,-578.3040311001781
39,78.0,175.17728313180558,-578.3039588358071
40,80.0,178.11011831503845,-578.30404814934
41,82.0,181.68447656240895,-578.3042242140192
42,84.0,185.7022464125518,-578.3044745217423
43,86.0,189.86634418502558,-578.3047486917177
44,88.0,193.83140131046943,-578.3050226044534
45,90.0,197.25738882108513,-578.3052627755549
46,92.0,199.86994582043593,-578.3053633759594
47,94.0,201.50118323348397,-578.3054017112962
48,96.0,202.09520643914217,-578.3053823031838
49,98.0,201.70617984683815,-578.3052013716936
50,100.0,200.49301699799003,-578.3049609844137
51,102.0,198.69001123996247,-578.3048069603755
52,104.0,196.54977810717918,-578.3045825142958
53,106.0,194.29923615258366,-578.3044696631405
54,108.0,192.15289121665424,-578.3042647630674
55,110.0,190.3419159121327,-578.3040937433252
56,112.0,189.08830121591322,-578.3039594479569
57,114.0,188.5486398139545,-578.3039335087492
58,116.0,188.7762649414991,-578.3040451747148
59,118.0,189.70640307702112,-578.3041718908468
60,120.0,191.1540754296478,-578.3044331769277
61,122.0,192.82800060440934,-578.3047631869996
62,124.0,194.388144207298,-578.3050064378974
63,126.0,195.54892312268495,-578.305082989768
64,128.0,196.15517425135567,-578.3050854678849
65,130.0,196.17117463453934,-578.3050576160549
66,132.0,195.6458436054822,-578.3049648081372
67,134.0,194.6791326557992,-578.3048930407435
68,136.0,193.37260017730208,-578.304846089129
69,138.0,191.80882022627884,-578.3048338871879
70,140.0,190.04774573719064,-578.3047984064067
71,142.0,188.1240841701259,-578.3048313621489
72,144.0,186.06478804022612,-578.3048215391883
73,146.0,183.92651833071528,-578.3047543117931
74,148.0,181.82642030754326,-578.3046720904608
75,150.0,179.91708613467816,-578.3045771816097
76,152.0,178.31607429643935,-578.3045675828096
77,154.0,177.09882021918213,-578.3045642418625
78,156.0,176.3494864551458,-578.3044951139574
79,158.0,176.1636399157468,-578.3043819339586
80,160.0,176.6004795482674,-578.3044207549331
81,162.0,177.64801079030568,-578.3044645435925
82,164.0,179.2395713551296,-578.3044766825401
83,166.0,181.2870395731938,-578.3045814156304
84,168.0,183.67975076100052,-578.3046508890264
85,170.0,186.27098757837217,-578.3047884450739
86,172.0,188.88671291546785,-578.3049083076369
87,174.0,191.34071479633957,-578.3050241851328
88,176.0,193.44600004144004,-578.3050990506138
89,178.0,195.02281844339868,-578.3052445226788
90,180.0,195.89510512836276,-578.3053405251212
91,182.0,195.88926583890546,-578.3054785484793
92,184.0,194.85743053425043,-578.3055329922728
93,186.0,192.73281802426635,-578.3054688067886
94,188.0,189.58289505220213,-578.305312003054
95,190.0,185.61890909599666,-578.3050239674709
96,192.0,181.17454026103087,-578.3047218911084
97,194.0,176.67375630392985,-578.304309128606
98,196.0,172.6006259652642,-578.3039342299097
99,198.0,169.46740327939477,-578.3034962058381
100,200.0,167.77660250820222,-578.3032055868587
